title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province
Nhà riêng tại đường Dịch Vọng	pr41709250	46.0	10.5	6	5	2	21.0292364165283	105.783160220276	Cầu Giấy	Hà Nội
Nhà riêng tại đường Trung Yên 9	pr42340281	45.0	15.8	6	5	2	21.0167786050633	105.801363992308	Cầu Giấy	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Vân Canh	pr42526118	100.0	12.5	5	6	2	21.0411361786486	105.731229931159	Hoài Đức	Hà Nội
Nhà riêng tại đường Kim Ngưu	pr42456994	54.0	10.0	6	5	2	21.0047470202117	105.860937996859	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Sapphire Palace	pr41756043	170.0	9.5	3	3	2	20.998708724975582	105.81198120117188	Thanh Xuân	Hà Nội
Nhà mặt phố tại Trung tâm thương mại TSQ	pr42596466	54.0	13.0	1	1	2	20.986098993558873	105.78204609453678	Hà Đông	Hà Nội
Nhà riêng tại phố An Xá	pr41734821	70.0	7.8	6	4	2	21.0469414279566	105.848051964797	Ba Đình	Hà Nội
Nhà riêng tại đường Bạch Đằng	pr42550616	62.0	10.3	4	4	2	21.0135513473935	105.86572050986	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Định Công Hạ	pr42643167	60.0	8.5	4	3	2	20.9829516938712	105.827098338873	Hoàng Mai	Hà Nội
Nhà riêng tại phường Yên Hòa	pr42651332	31.0	8.3	3	4	-1	21.0225950323698	105.795382385232	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Sunshine Riverside	pr42479033	90.0	7.6	3	2	2	21.084491105978923	105.81231745205676	Tây Hồ	Hà Nội
Nhà riêng tại đường Cầu Giấy	pr42597784	35.0	7.2	3	4	2	21.0302239711124	105.801958804826	Cầu Giấy	Hà Nội
Căn hộ chung cư tại D’. Le Roi Soleil	pr41770663	111.0	11.5	3	3	2	21.06546546225717	105.82684731100024	Tây Hồ	Hà Nội
Căn hộ chung cư tại The Zei Mỹ Đình	pr42457340	92.0	7.4	2	2	-1	21.03457625449836	105.7696120224441	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Tứ Liên	pr42297395	70.0	18.6	4	5	2	21.0694279426607	105.838095537866	Tây Hồ	Hà Nội
Căn hộ chung cư tại Usilk City	pr42575811	165.0	7.4	3	3	2	20.974521536494105	105.7607750603846	Hà Đông	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42110322	43.0	12.75	3	5	2	21.0439425368843	105.872495668893	Long Biên	Hà Nội
Nhà mặt phố tại đường Nguyễn Văn Linh	pr42575953	39.4	8.4	3	4	2	21.0402796005981	105.897847572808	Long Biên	Hà Nội
Nhà riêng tại đường Hồ Tùng Mậu	pr42130330	59.0	20.6	5	6	2	21.0379602478999	105.773777891427	Cầu Giấy	Hà Nội
Nhà riêng tại đường 32	pr42402662	52.5	7.9	4	3	2	21.0783240165308	105.691294890891	Hoài Đức	Hà Nội
Căn hộ chung cư tại Thống Nhất Complex	pr40173409	125.0	9.0	3	2	2	20.998046875	105.80354309082	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Amber Riverside	pr38948146	115.0	7.88	3	2	2	20.9982109069824	105.870994567871	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Diamond Flower Tower	pr42467357	120.0	9.1	3	2	2	21.006152699121156	105.80396733980982	Thanh Xuân	Hà Nội
