[2025-04-24T06:22:42.905+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119322418.htm
[2025-04-24T06:22:51.334+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119341219.htm
[2025-04-24T06:22:58.551+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119369647.htm
[2025-04-24T06:23:07.522+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119400874.htm
[2025-04-24T06:23:16.575+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119401079.htm
[2025-04-24T06:23:24.397+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119423660.htm
[2025-04-24T06:23:33.248+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119423825.htm
[2025-04-24T06:23:42.122+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119455859.htm
[2025-04-24T06:23:49.901+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119457039.htm
[2025-04-24T06:23:58.182+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119470439.htm
[2025-04-24T06:24:06.036+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119471658.htm
[2025-04-24T06:24:14.787+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119472241.htm
[2025-04-24T06:24:24.541+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119472814.htm
[2025-04-24T06:24:33.652+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119486507.htm
[2025-04-24T06:24:40.449+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119489573.htm
[2025-04-24T06:24:48.801+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119496869.htm
[2025-04-24T06:24:56.292+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119508843.htm
[2025-04-24T06:25:03.469+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119528505.htm
[2025-04-24T06:25:11.058+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119537674.htm
[2025-04-24T06:25:17.784+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119538674.htm
[2025-04-24T06:25:25.594+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119544112.htm
[2025-04-24T06:25:34.346+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119560850.htm
[2025-04-24T06:25:43.209+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119569432.htm
[2025-04-24T06:25:51.581+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119593960.htm
[2025-04-24T06:26:01.540+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119603294.htm
[2025-04-24T06:26:10.077+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119635582.htm
[2025-04-24T06:26:17.480+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119668602.htm
[2025-04-24T06:26:25.595+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119674768.htm
[2025-04-24T06:26:32.632+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119683682.htm
[2025-04-24T06:26:40.615+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119697975.htm
[2025-04-24T06:26:46.343+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119698803.htm
[2025-04-24T06:26:56.071+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119709727.htm
[2025-04-24T06:27:04.506+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119723945.htm
[2025-04-24T06:27:13.526+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119776727.htm
[2025-04-24T06:27:21.476+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119819857.htm
[2025-04-24T06:27:29.186+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119828789.htm
[2025-04-24T06:27:37.857+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119834122.htm
[2025-04-24T06:27:46.037+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119834753.htm
